player_id,name,position,team_name,team_abbrev,conference,age,experience,jersey_number,tier
1000,Lamar Jackson,QB,Kansas City Chiefs,KC,AFC,30,6,9,starter
1001,Jalen Hurts,QB,Kansas City Chiefs,KC,AFC,25,4,73,backup
1002,Joe Mixon,RB,Kansas City Chiefs,KC,AFC,23,3,64,starter
1003,Marcus McCaffrey,RB,Kansas City Chiefs,KC,AFC,28,4,37,rb2
1004,Brandon Mixon,RB,Kansas City Chiefs,KC,AFC,31,10,82,depth
1005,Keenan Allen,WR,Kansas City Chiefs,KC,AFC,36,12,37,starter
1006,DeAndre Hopkins,WR,Kansas City Chiefs,KC,AFC,29,8,70,wr2
1007,DeShawn Lamb,WR,Kansas City Chiefs,KC,AFC,25,5,13,depth
1008,Keenan Allen,WR,Kansas City Chiefs,KC,AFC,25,3,70,depth
1009,Marcus Adams,WR,Kansas City Chiefs,KC,AFC,25,5,5,depth
1010,A.J. Brown,WR,Kansas City Chiefs,KC,AFC,25,5,14,depth
1011,Dallas Goedert,TE,Kansas City Chiefs,KC,AFC,27,5,33,starter
1012,Jordan Njoku,TE,Kansas City Chiefs,KC,AFC,29,7,47,backup
1013,Aaron Rodgers,QB,Philadelphia Eagles,PHI,NFC,30,8,20,starter
1014,Aaron Rodgers,QB,Philadelphia Eagles,PHI,NFC,26,6,35,backup
1015,Josh Allen III,QB,Philadelphia Eagles,PHI,NFC,21,1,98,backup
1016,Nick Chubb,RB,Philadelphia Eagles,PHI,NFC,25,3,43,starter
1017,Aaron Jones,RB,Philadelphia Eagles,PHI,NFC,33,12,28,rb2
1018,Jonathan Taylor,RB,Philadelphia Eagles,PHI,NFC,25,2,82,depth
1019,Dalvin Cook,RB,Philadelphia Eagles,PHI,NFC,29,6,83,depth
1020,DK Metcalf,WR,Philadelphia Eagles,PHI,NFC,25,3,80,starter
1021,Stefon Diggs,WR,Philadelphia Eagles,PHI,NFC,24,4,76,wr2
1022,Michael Diggs,WR,Philadelphia Eagles,PHI,NFC,27,6,72,depth
1023,Davante Adams,WR,Philadelphia Eagles,PHI,NFC,30,7,43,depth
1024,Tyreek Hill,WR,Philadelphia Eagles,PHI,NFC,27,6,67,depth
1025,DK Metcalf,WR,Philadelphia Eagles,PHI,NFC,26,4,44,depth
1026,Davante Adams Sr.,WR,Philadelphia Eagles,PHI,NFC,31,7,7,depth
1027,Travis Kelce,TE,Philadelphia Eagles,PHI,NFC,26,4,75,starter
1028,Brandon Kittle,TE,Philadelphia Eagles,PHI,NFC,26,3,11,backup
1029,Tyler Andrews,TE,Philadelphia Eagles,PHI,NFC,23,2,60,backup
1030,Tua Tagovailoa,QB,Buffalo Bills,BUF,AFC,28,6,42,starter
1031,Brandon Hurts,QB,Buffalo Bills,BUF,AFC,27,3,75,backup
1032,Tua Tagovailoa,QB,Buffalo Bills,BUF,AFC,32,8,59,backup
1033,Aaron Jones,RB,Buffalo Bills,BUF,AFC,31,10,82,starter
1034,Nick Chubb III,RB,Buffalo Bills,BUF,AFC,24,2,83,rb2
1035,Aaron Jones Jr.,RB,Buffalo Bills,BUF,AFC,26,6,77,depth
1036,Tyreek Hill,WR,Buffalo Bills,BUF,AFC,27,3,6,starter
1037,Keenan Allen,WR,Buffalo Bills,BUF,AFC,29,5,43,wr2
1038,Michael Adams,WR,Buffalo Bills,BUF,AFC,26,6,34,depth
1039,DeAndre Hopkins II,WR,Buffalo Bills,BUF,AFC,29,6,3,depth
1040,Keenan Allen,WR,Buffalo Bills,BUF,AFC,26,2,51,depth
1041,Brandon Metcalf,WR,Buffalo Bills,BUF,AFC,21,1,5,depth
1042,T.J. Hockenson,TE,Buffalo Bills,BUF,AFC,25,3,21,starter
1043,David Njoku,TE,Buffalo Bills,BUF,AFC,28,6,96,backup
1044,Kyle Pitts Jr.,TE,Buffalo Bills,BUF,AFC,26,5,94,backup
1045,Josh Allen,QB,Dallas Cowboys,DAL,NFC,27,3,10,starter
1046,Jalen Hurts,QB,Dallas Cowboys,DAL,NFC,31,8,84,backup
1047,Justin Herbert,QB,Dallas Cowboys,DAL,NFC,33,12,64,backup
1048,Christian McCaffrey,RB,Dallas Cowboys,DAL,NFC,33,10,9,starter
1049,Saquon Barkley,RB,Dallas Cowboys,DAL,NFC,23,2,53,rb2
1050,Jonathan Taylor,RB,Dallas Cowboys,DAL,NFC,30,6,34,depth
1051,Tyreek Hill,WR,Dallas Cowboys,DAL,NFC,29,6,87,starter
1052,CeeDee Lamb,WR,Dallas Cowboys,DAL,NFC,29,8,22,wr2
1053,Stefon Diggs,WR,Dallas Cowboys,DAL,NFC,29,9,34,depth
1054,A.J. Brown,WR,Dallas Cowboys,DAL,NFC,26,5,72,depth
1055,Jordan Diggs,WR,Dallas Cowboys,DAL,NFC,27,7,76,depth
1056,Marcus Brown,WR,Dallas Cowboys,DAL,NFC,28,8,12,depth
1057,Kyle Pitts,TE,Dallas Cowboys,DAL,NFC,35,12,99,starter
1058,Dallas Goedert,TE,Dallas Cowboys,DAL,NFC,30,9,77,backup
1059,Jalen Hurts,QB,San Francisco 49ers,SF,NFC,22,1,20,starter
